date,open,high,low,close,volume,factor
2024-09-03,31.53,32.08,29.66,30.48,525869.0,1.0
2024-09-04,28.95,29.15,27.85,28.23,631487.0,1.0
2024-09-05,28.22,29.07,27.9,28.23,353221.0,1.0
2024-09-06,27.95,28.23,27.1,27.14,286660.0,1.0
2024-09-09,27.0,27.38,26.56,27.18,270118.0,1.0
2024-09-10,27.3,27.63,26.72,27.58,296487.0,1.0
2024-09-11,27.21,27.76,27.06,27.5,201526.0,1.0
2024-09-12,28.95,29.09,27.02,27.02,422304.0,1.0
2024-09-13,27.07,29.09,27.04,28.1,595043.0,1.0
2024-09-18,27.97,28.45,27.66,27.82,280894.0,1.0
2024-09-19,27.86,28.06,26.82,27.3,297427.0,1.0
2024-09-20,27.58,27.69,26.9,27.07,188593.0,1.0
2024-09-23,26.8,27.98,26.58,27.14,193339.0,1.0
2024-09-24,27.28,30.1,27.28,29.62,491637.0,1.0
2024-09-25,30.5,30.88,29.06,29.12,498393.0,1.0
2024-09-26,29.47,30.88,29.04,30.85,439691.0,1.0
2024-09-27,30.7,34.99,30.7,34.0,590612.0,1.0
2024-09-30,35.0,39.76,34.1,39.7,690147.0,1.0
2024-10-08,47.19,47.64,41.24,47.64,824131.0,1.0
2024-10-09,45.28,49.83,41.44,43.0,813511.0,1.0
2024-10-10,44.0,44.99,40.52,42.7,565776.0,1.0
2024-10-11,41.2,42.62,39.58,40.55,453629.0,1.0
2024-10-14,40.8,43.95,40.23,43.41,509513.0,1.0
2024-10-15,42.63,45.15,42.12,42.56,451912.0,1.0
2024-10-16,41.0,41.88,40.56,40.96,301224.0,1.0
2024-10-17,41.59,44.85,41.22,43.44,546191.0,1.0
2024-10-18,44.2,51.95,43.82,49.92,802012.0,1.0
2024-10-21,50.25,53.53,48.27,51.0,642329.0,1.0
2024-10-22,51.5,52.95,48.6,49.6,594921.0,1.0
2024-10-23,48.7,49.9,47.5,48.34,425707.0,1.0
2024-10-24,47.52,49.28,46.58,48.24,353673.0,1.0
2024-10-25,49.11,49.2,47.2,48.18,335147.0,1.0
2024-10-28,47.6,47.88,44.7,45.87,453812.0,1.0
2024-10-29,46.06,47.18,44.87,45.67,381740.0,1.0
2024-10-30,45.99,46.42,44.34,45.02,297674.0,1.0
2024-10-31,44.39,45.98,43.62,45.03,342614.0,1.0
2024-11-01,44.0,44.39,41.96,42.36,429358.0,1.0
2024-11-04,42.35,44.23,42.35,43.66,247206.0,1.0
2024-11-05,43.5,46.32,43.03,45.62,449114.0,1.0
2024-11-06,45.71,46.66,43.76,44.32,371440.0,1.0
